"WBIC","Year","Lake","age0cpe.mile","id"
"2329600",2004,"ALDER LAKE",37.9487179487179,"2329600 2004"
"1494600",2011,"ALEXANDER LAKE",6.66666666666667,"1494600 2011"
"2268600",2005,"AMIK LAKE",0.188679245283019,"2268600 2005"
"458700",2013,"ANDERSON LAKE",0,"458700 2013"
"2953800",2008,"ANNABELLE LAKE",49.0625,"2953800 2008"
"2449400",2006,"ANTLER LAKE",0.4,"2449400 2006"
"968800",2006,"ANVIL LAKE",1.77777777777778,"968800 2006"
"968800",2007,"ANVIL LAKE",7.11111111111111,"968800 2007"
"968800",2010,"ANVIL LAKE",6.52173913043478,"968800 2010"
"417400",2007,"ARCHIBALD LAKE",0.476190476190476,"417400 2007"
"417400",2011,"ARCHIBALD LAKE",2.3943661971831,"417400 2011"
"2448800",2004,"ASHEGON LAKE",0.434782608695652,"2448800 2004"
"2410400",2004,"AUGUSTINE LAKE",4.78260869565217,"2410400 2004"
"2410400",2010,"AUGUSTINE LAKE",1.30434782608696,"2410400 2010"
"2956700",2012,"AVERILL LAKE",2,"2956700 2012"
"2092500",2006,"AXHANDLE LAKE",0,"2092500 2006"
"2620600",2005,"BALSAM LAKE",3.1140350877193,"2620600 2005"
"2620600",2006,"BALSAM LAKE",0,"2620600 2006"
"2620600",2007,"BALSAM LAKE",0.0966183574879227,"2620600 2007"
"2620600",2013,"BALSAM LAKE",0,"2620600 2013"
"2382300",2010,"BARBER LAKE",1.04166666666667,"2382300 2010"
"970000",2006,"BASS LAKE",0,"970000 2006"
"1580300",2011,"BASS LAKE T37N R09E S30",0,"1580300 2011"
"1527800",2004,"BEAR LAKE",0,"1527800 2004"
"471200",2009,"BEAR LAKE",0,"471200 2009"
"279700",2010,"BEAR LAKE",0,"279700 2010"
"2618100",2007,"BEAR TRAP LAKE",0,"2618100 2007"
"2265100",2008,"BEARSKULL LAKE",0,"2265100 2008"
"2452300",2006,"BEARTRACK LAKE",23.5714285714286,"2452300 2006"
"2081200",2006,"BEAVER DAM LAKE",0.111111111111111,"2081200 2006"
"2081200",2010,"BEAVER DAM LAKE",0,"2081200 2010"
"2678300",2006,"BENOIT LAKE",0,"2678300 2006"
"1545600",2005,"BIG ARBOR VITAE LAKE",34.6575342465753,"1545600 2005"
"1545600",2006,"BIG ARBOR VITAE LAKE",40.7692307692308,"1545600 2006"
