id,WBIC,longitude,latitude,State,division
1669,20,-87.42,44.6,WI,6
222,200,-88.06,43,WI,9
186,300,-88.07,42.93,WI,9
89,400,-87.82,42.74,WI,9
57,1800,-87.87,42.65,WI,9
166,5200,-88.06,42.88,WI,9
184,5500,-87.96,42.92,WI,9
183,5700,-87.99,42.92,WI,9
177,5900,-88,42.91,WI,9
187,6100,-87.98,42.93,WI,9
192,7100,-88.06,42.94,WI,9
182,7300,-88.03,42.92,WI,9
176,7500,-88.03,42.91,WI,9
515,7900,-88.16,43.44,WI,9
623,8000,-88.12,43.59,WI,6
514,8200,-88.17,43.44,WI,9
619,8300,-88.2,43.59,WI,6
650,8400,-88.14,43.63,WI,6
425,8500,-87.98,43.28,WI,9
470,8700,-87.99,43.36,WI,9
630,8900,-88.16,43.6,WI,6
507,9100,-88,43.41,WI,9
195,9400,-87.92,42.95,WI,9
500,9500,-88,43.4,WI,9
552,9600,-87.98,43.51,WI,9
217,9700,-87.89,42.99,WI,9
253,9800,-87.99,43.04,WI,9
651,9900,-88.14,43.63,WI,6
223,10000,-87.92,43,WI,9
365,10100,-87.93,43.17,WI,9
639,10200,-88.16,43.61,WI,6
302,10300,-87.97,43.11,WI,9
531,10400,-88.15,43.47,WI,9
239,10500,-87.94,43.02,WI,9
458,10600,-87.98,43.33,WI,9
353,10700,-88.05,43.16,WI,9
354,10800,-88.05,43.16,WI,9
355,10900,-88.05,43.16,WI,9
333,11100,-88.01,43.14,WI,9
416,11300,-88.12,43.25,WI,9
491,11400,-88.02,43.39,WI,9
204,11500,-87.91,42.97,WI,9
592,11600,-88.32,43.56,WI,6
610,11800,-88.1,43.58,WI,6
620,11900,-88.2,43.59,WI,6
676,12000,-88.19,43.66,WI,6
411,12100,-87.99,43.23,WI,9
517,12400,-88,43.44,WI,9
508,12500,-88.01,43.42,WI,9
496,12600,-88.01,43.4,WI,9
497,12700,-88.01,43.4,WI,9
498,12800,-88.01,43.4,WI,9
499,12900,-88.01,43.4,WI,9
501,13000,-87.99,43.4,WI,9
567,13100,-88.01,43.53,WI,9
638,13200,-88.25,43.61,WI,6
605,13300,-88.17,43.58,WI,6
616,13400,-88.23,43.59,WI,6
631,13500,-88.13,43.6,WI,6
608,13600,-88.13,43.58,WI,6
606,13700,-88.15,43.58,WI,6
599,13800,-88.15,43.57,WI,6
609,13900,-88.13,43.58,WI,6
595,14000,-87.93,43.56,WI,6
649,14100,-88.21,43.63,WI,6
700,14200,-88.06,43.7,WI,6
264,14400,-87.96,43.05,WI,9
178,14700,-87.85,42.91,WI,9
203,15500,-87.93,42.97,WI,9
216,15800,-87.96,42.99,WI,9
238,16200,-87.97,43.02,WI,9
215,16600,-88.01,42.99,WI,9
344,18300,-88.05,43.15,WI,9
345,19900,-87.95,43.15,WI,9
390,20300,-87.95,43.2,WI,9
427,21700,-87.97,43.29,WI,9
469,22100,-88.02,43.36,WI,9
484,22200,-88,43.38,WI,9
492,22300,-88,43.39,WI,9
495,22800,-88.03,43.4,WI,9
468,23200,-88.13,43.36,WI,9
452,24000,-88.18,43.32,WI,9
451,24100,-88.19,43.32,WI,9
441,24500,-88.22,43.31,WI,9
476,25100,-88.22,43.37,WI,9
475,25300,-88.26,43.37,WI,9
506,25600,-88.25,43.41,WI,9
471,26400,-87.98,43.36,WI,9
546,26700,-87.95,43.5,WI,9
518,26900,-87.99,43.44,WI,9
532,27500,-88.09,43.47,WI,9
537,27900,-88.12,43.48,WI,9
520,28100,-88.1,43.45,WI,9
519,28300,-88.15,43.45,WI,9
516,28600,-88.16,43.44,WI,9
585,29300,-88.15,43.55,WI,6
607,29400,-88.14,43.58,WI,6
561,29700,-88.05,43.52,WI,9
586,30300,-87.95,43.55,WI,6
579,30400,-87.95,43.54,WI,6
578,30500,-87.96,43.54,WI,6
569,30800,-88.07,43.54,WI,6
570,30800,-88.07,43.54,WI,9
632,31100,-88.09,43.6,WI,6
594,31300,-88.03,43.56,WI,6
611,31900,-88.01,43.58,WI,6
659,32500,-88.01,43.64,WI,6
660,32700,-88,43.64,WI,6
509,34100,-87.99,43.42,WI,9
494,34500,-88.08,43.4,WI,9
490,34700,-88.09,43.39,WI,9
477,35000,-88.2,43.37,WI,9
512,35400,-88.18,43.43,WI,9
493,35900,-88.21,43.4,WI,9
489,36000,-88.21,43.39,WI,9
483,36200,-88.21,43.38,WI,9
529,36700,-88.19,43.47,WI,9
530,36800,-88.18,43.47,WI,9
