"WBIC","Year","Lake","age0cpe.mile","id"
2267800,1977,"Round Lake",157.835551418424,"2267800 1977"
2267800,1990,"Round Lake",43.6409433058005,"2267800 1990"
2268500,1963,"Turner Lake",0.439735878257278,"2268500 1963"
2268500,1980,"Turner Lake",36.506370065859,"2268500 1980"
2268500,2003,"Turner Lake",6.93577770793256,"2268500 2003"
2268500,2004,"Turner Lake",7.62194746759448,"2268500 2004"
2283300,1964,"Butternut Lake",12.6587332307516,"2283300 1964"
2283300,1973,"Butternut Lake",18.0172835492682,"2283300 1973"
2283300,1987,"Butternut Lake",22.1613392679237,"2283300 1987"
2283300,1991,"Butternut Lake",13.6419905352971,"2283300 1991"
2283300,1993,"Butternut Lake",7.77104549783985,"2283300 1993"
2283300,1995,"Butternut Lake",51.0727426954861,"2283300 1995"
2283300,1999,"Butternut Lake",15.6455421522682,"2283300 1999"
2403200,1984,"Bear Lake",3.59353834987212,"2403200 1984"
2403200,1997,"Bear Lake",8.3076055552051,"2403200 1997"
2403200,2000,"Bear Lake",2.59110363257507,"2403200 2000"
2403200,2003,"Bear Lake",3.00152043855959,"2403200 2003"
2403200,2008,"Bear Lake",1.164174196136,"2403200 2008"
2429300,1966,"Lower Clam Lake",0.859815582418168,"2429300 1966"
2429300,1985,"Lower Clam Lake",0.439735878257278,"2429300 1985"
2429300,1991,"Lower Clam Lake",7.82366265510925,"2429300 1991"
2429300,1992,"Lower Clam Lake",0.265896216843695,"2429300 1992"
2429300,1997,"Lower Clam Lake",0.265896216843695,"2429300 1997"
2916900,2000,"Mineral Lake",5.70644795010803,"2916900 2000"
2916900,2010,"Mineral Lake",2.34256998339772,"2916900 2010"
2936200,1992,"Spillerberg Lake",4.1847462705669,"2936200 1992"
2936200,1993,"Spillerberg Lake",9.67755207684908,"2936200 1993"
2936200,1998,"Spillerberg Lake",72.5108425477488,"2936200 1998"
2936200,2012,"Spillerberg Lake",6.24904461171132,"2936200 2012"
494200,1996,"Rose Lake",0.919662290596089,"494200 1996"
1884100,1988,"STONE L",0,"1884100 1988"
2706800,1985,"BIG MCKENZIE L",23.73239437,"2706800 1985"
