Date	Wtemp_Max
2001-04-04	11.7
2001-04-05	11.8
2001-04-06	11.2
2001-04-07	14.9
2001-04-08	12.8
2001-04-09	16.3
2001-04-10	15.2
2001-04-11	14
2001-04-12	16.5
2001-04-13	14.7
2001-04-14	14.6
2001-04-15	16.6
2001-04-16	14.9
2001-04-17	14.4
2001-04-18	13.9
2001-04-19	14
2001-04-20	14.7
2001-04-21	15.4
2001-04-22	15.9
2001-04-23	15.9
2001-04-24	16.4
2001-04-25	20
2001-04-26	16.6
2001-04-27	16.4
2001-04-28	16.6
2001-04-29	16.7
2001-04-30	17.1
2001-05-01	17.5
2001-05-02	18.2
2001-05-03	19.5
2001-05-04	17.9
2001-05-05	19
2001-05-06	21.6
2001-05-07	21
2001-05-08	19.7
2001-05-09	19.7
2001-05-10	20
2001-05-11	20.4
2001-05-12	20.5
2001-05-13	21.1
2001-05-14	21.2
2001-05-15	21.8
2001-05-16	22
2001-05-17	23
2001-05-18	26.4
2001-05-19	23.3
2001-05-20	22.9
2001-05-21	22.8
2001-05-22	20.9
2001-05-23	21.2
2001-05-24	20.3
2001-05-25	20
2001-05-26	21
2001-05-27	20.6
2001-05-28	22.6
2001-05-29	20.1
2001-05-30	20.5
2001-05-31	20.4
2001-06-01	20.5
2001-06-02	20.8
2001-06-03	19.5
2001-06-04	20.5
2001-06-05	20.3
2001-06-06	20.6
2001-06-07	25.2
2001-06-08	25.1
2001-06-09	22.4
2001-06-10	22.2
2001-06-11	22.9
2001-06-12	22.5
2001-06-13	23.3
2001-06-14	24.4
2001-06-15	24.5
2001-06-16	24.2
2001-06-17	24.1
2001-06-18	24.1
2001-06-19	24.8
2001-06-20	24.4
2001-06-21	24.9
2001-06-22	27.2
2001-06-23	24.9
2001-06-24	24.6
2001-06-25	24.6
2001-06-26	24.9
2001-06-27	24.7
2001-06-28	25.8
2001-06-29	25.5
2001-06-30	25.6
2001-07-01	27.2
2001-07-02	26.3
2001-07-03	26.5
2001-07-04	31.1
2001-07-07	27.3
2001-07-08	27.3
2001-07-09	28.3
2001-07-10	28.2
2001-07-11	27.2
2001-07-12	29.2
