year	lakeid	secchi.m	secchi_source
1979	200	0.341225	satellite mean
1980	200	0.341225	satellite mean
1981	200	0.341225	satellite mean
1982	200	0.341225	satellite mean
1983	200	0.341225	satellite mean
1984	200	0.341225	satellite mean
1985	200	0.341225	satellite mean
1986	200	0.341225	satellite mean
1987	200	0.341225	satellite mean
1988	200	0.341225	satellite mean
1989	200	0.341225	satellite mean
1990	200	0.341225	satellite mean
1991	200	0.341225	satellite mean
1992	200	0.341225	satellite mean
1993	200	0.341225	satellite mean
1994	200	0.341225	satellite mean
1995	200	0.341225	satellite mean
1996	200	0.341225	satellite mean
1997	200	0.341225	satellite mean
1998	200	0.341225	satellite mean
1999	200	0.341225	satellite mean
2000	200	0.341225	satellite mean
2001	200	0.341225	satellite mean
2002	200	0.341225	satellite mean
2003	200	0.341225	satellite mean
2004	200	0.341225	satellite mean
2005	200	0.341225	satellite mean
2006	200	0.341225	satellite mean
2007	200	0.341225	satellite mean
2008	200	0.341225	satellite mean
2009	200	0.341225	satellite mean
2010	200	0.341225	satellite mean
2011	200	0.341225	satellite mean
2012	200	0.341225	satellite mean
1979	400	2.64265	satellite mean
1980	400	2.64265	satellite mean
1981	400	2.64265	satellite mean
1982	400	2.64265	satellite mean
1983	400	2.64265	satellite mean
1984	400	2.64265	satellite mean
1985	400	2.64265	satellite mean
1986	400	2.64265	satellite mean
1987	400	2.64265	satellite mean
1988	400	2.64265	satellite mean
1989	400	2.64265	satellite mean
1990	400	2.64265	satellite mean
1991	400	2.64265	satellite mean
1992	400	2.64265	satellite mean
1993	400	2.64265	satellite mean
1994	400	2.64265	satellite mean
1995	400	2.64265	satellite mean
1996	400	2.64265	satellite mean
1997	400	2.64265	satellite mean
1998	400	2.64265	satellite mean
1999	400	2.64265	satellite mean
2000	400	2.64265	satellite mean
2001	400	2.64265	satellite mean
2002	400	2.64265	satellite mean
2003	400	2.64265	satellite mean
2004	400	2.64265	satellite mean
2005	400	2.64265	satellite mean
2006	400	2.64265	satellite mean
2007	400	2.64265	satellite mean
2008	400	2.64265	satellite mean
2009	400	2.64265	satellite mean
2010	400	2.64265	satellite mean
2011	400	2.64265	satellite mean
2012	400	2.64265	satellite mean
1979	6100	1.547058974	in-situ mean
1980	6100	1.547058974	in-situ mean
1981	6100	0.717692308	in-situ
1982	6100	1.547058974	in-situ mean
1983	6100	1.547058974	in-situ mean
1984	6100	1.547058974	in-situ mean
1985	6100	1.547058974	in-situ mean
1986	6100	1.547058974	in-situ mean
1987	6100	1.547058974	in-situ mean
1988	6100	1.547058974	in-situ mean
1989	6100	1.547058974	in-situ mean
1990	6100	1.547058974	in-situ mean
1991	6100	1.547058974	in-situ mean
1992	6100	2.516666667	in-situ
1993	6100	3.0734	in-situ
1994	6100	2.30124	in-situ
1995	6100	2.02692	in-situ
1996	6100	1.64592	in-situ
1997	6100	1.26492	in-situ
1998	6100	1.61544	in-situ
1999	6100	0.67056	in-situ
2000	6100	0.8001	in-situ
2001	6100	1.05156	in-situ
2002	6100	1.524	in-situ
2003	6100	1.9812	in-situ
2004	6100	1.84404	in-situ
2005	6100	1.84404	in-situ
2006	6100	1.547058974	in-situ mean
2007	6100	1.547058974	in-situ mean
2008	6100	1.547058974	in-situ mean
2009	6100	1.547058974	in-situ mean
2010	6100	1.547058974	in-situ mean
2011	6100	1.547058974	in-situ mean
2012	6100	1.547058974	in-situ mean
1979	7100	1.655572135	in-situ mean
1980	7100	1.655572135	in-situ mean
1981	7100	1.655572135	in-situ mean
1982	7100	1.655572135	in-situ mean
1983	7100	1.655572135	in-situ mean
1984	7100	1.655572135	in-situ mean
1985	7100	1.655572135	in-situ mean
1986	7100	1.655572135	in-situ mean
1987	7100	1.655572135	in-situ mean
1988	7100	1.655572135	in-situ mean
